M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
512.3426092,484.2221143,491.1404508,504.1672297,473.8161742,480.0354423,495.1383924,465.3864065,480.0354423
512.6289509,484.6047019,491.3196183,504.5346013,474.2584474,480.4679428,495.50093,465.8211752,480.4679428
512.9125199,484.9851522,491.5056945,504.8981113,474.6982378,480.8978054,495.8595845,466.2534971,480.8978054
513.1933683,485.3634564,491.6978781,505.2577909,475.1355539,481.32504,496.2144589,466.6833818,481.32504
513.4716191,485.739627,491.8953068,505.6137295,475.5704065,481.7496576,496.5656931,467.1108379,481.7496576
513.9691712,486.1143745,492.0994249,506.1865172,476.0035525,482.1731679,497.135348,467.536614,482.1731679
514.5659953,486.4882995,492.3096022,506.8563143,476.4355141,482.5977183,497.8012349,467.961239,482.5977183
515.027302,486.8634959,492.526178,507.3906256,476.8683475,483.0268776,498.3310933,468.3867741,483.0268776
515.4559925,487.2409288,492.7494436,507.8914531,477.3030942,483.4600834,498.8273804,468.814229,483.4600834
515.873609,487.6217228,492.9794981,508.380402,477.7408566,483.8983262,499.3115926,469.2447173,483.8983262
516.2865933,488.006611,493.6732787,508.8639464,478.1823601,484.3418599,499.7903623,469.6789676,484.3418599
516.6979398,488.3959605,495.2885889,509.3449272,478.6279672,484.790539,500.2666112,470.1173401,484.790539
517.1092493,488.789841,496.0600925,509.8250446,479.0777526,485.2439733,500.7420176,470.5599044,485.2439733
517.5209091,489.1881017,496.6155707,510.3046692,479.5315644,485.70164,501.2169366,471.0065079,485.70164
517.9331197,489.5904462,497.0834739,510.7839865,479.9891106,486.1629554,501.6914488,471.4568672,486.1629554
518.3456916,489.9964878,497.5072976,511.2628217,480.4500076,486.6273244,502.1654316,471.9105955,486.6273244
518.7581951,490.1786389,497.906455,511.7407038,480.9138256,487.0941609,502.6386756,472.3672673,487.0941609
519.1703132,490.2535146,498.3248065,512.2174206,481.3801192,487.5629157,503.110589,472.8264363,487.5629157
519.5814101,490.3258692,498.7818404,512.6924306,481.8484462,488.0330809,503.5807555,473.287661,488.0330809
519.9915011,490.4107071,499.2655265,513.165356,482.3183793,488.5041965,504.0490839,473.7505182,488.5041965
520.3999428,490.5062309,499.7509782,513.6359569,482.7895235,488.9758404,504.5149375,474.2146086,488.9758404
520.8064035,490.6108288,500.2258138,514.1037519,483.2615011,489.4476427,504.9780171,474.6795585,489.4476427
521.2105678,490.7234789,500.6861899,514.5686061,483.7339715,489.9192702,505.4380426,475.1450256,489.9192702
521.6122736,490.8432599,501.1321568,515.0300327,484.2066213,490.173422,505.8948643,475.6106983,490.173422
522.0110646,490.9694958,501.5650405,515.4880358,484.6791667,490.245641,506.3482935,476.0762936,490.245641
522.4069641,491.1016103,501.9862626,515.9424062,485.1513515,490.3211502,506.7979628,476.541555,490.3211502
522.7996221,491.2391225,502.3971412,516.3928496,485.6229451,490.4144637,507.2437568,477.0062514,490.4144637
523.1888195,491.3816223,502.8002737,516.8394149,486.0937404,490.5237769,507.685723,477.4701796,490.5237769
523.5746779,491.5287543,503.2024685,517.2818424,486.5635552,490.6477939,508.1236113,477.9331547,490.6477939
523.9569262,491.6802052,503.6061335,517.7201071,487.0322248,490.7850162,508.55728,478.395012,490.7850162
524.3355147,491.835696,504.0102943,518.1541924,487.4996025,490.9345244,508.9868906,478.8556042,490.9345244
524.7105129,491.9949744,504.4132637,518.5840182,487.9655562,491.0945633,509.4123301,479.3148005,491.0945633
525.081727,492.157811,504.8134611,519.0095968,488.42997,491.2642146,509.8333522,479.772485,491.2642146
525.4491453,492.3239946,505.2100142,519.430811,488.8927407,491.4422301,510.250167,480.2285549,491.4422301
525.8128384,492.49333,505.6027341,519.8477556,489.3537773,491.6278751,510.6627524,480.6829193,491.6278751
526.1727526,492.6656352,505.9912886,520.2604695,489.813001,491.820177,511.0711142,481.1354982,491.820177
526.5288071,492.8407402,506.3758892,520.6688222,490.1635824,492.0201816,511.4751207,481.5862209,492.0201816
526.8811092,493.0184853,506.7567709,521.0729973,490.2268135,492.2261807,511.8750096,482.0350253,492.2261807
527.229642,493.6019779,507.1344068,521.4728429,490.3018275,492.4376464,512.2706335,482.4818567,492.4376464
527.5743359,495.0998617,507.5089929,521.8687822,490.390796,492.6544561,512.6621328,482.9266681,492.6544561
527.915384,496.0094211,507.8810172,522.2603212,490.4909405,492.8761212,513.0493812,483.3694173,492.8761212
528.2527239,496.7455523,508.2509415,522.6476766,490.600843,493.1026762,513.432664,483.8100693,493.1026762
528.5863357,497.3997277,508.6186476,523.030869,490.7191408,495.1982422,513.811923,484.2485943,495.1982422
528.916304,498.0052678,508.9842696,523.4101029,490.844738,496.7034183,514.1871049,484.6849556,496.7034183
529.2428044,498.5777706,509.3476359,523.7852197,490.9768391,497.6029161,514.5582165,485.1191459,497.6029161
529.565707,499.1252299,509.7090729,524.1563965,491.1147825,498.2768696,514.9255097,485.5511438,498.2768696
529.8852506,499.652882,510.0686039,524.5235372,491.2580285,498.8365115,515.2889786,485.9809339,498.8365115
530.2012657,500.1635962,510.4263959,524.8867234,491.4061264,499.3289377,515.648564,486.4085109,499.3289377
530.5139294,500.6599692,510.782237,525.2460554,491.558693,499.7779831,516.0043565,486.833844,499.7779831
530.8233012,501.1437318,511.1359835,525.6015025,491.7153973,500.1971813,516.3564781,487.2569494,500.1971813
531.1293468,501.616349,511.4879089,525.9531436,491.8759492,500.6138413,516.7049036,487.6778074,500.6138413
531.4322028,502.0789668,511.8381997,526.3010798,492.0400911,501.0383334,517.0496519,488.096414,501.0383334
531.7318612,502.5325154,512.1866599,526.645257,492.2075914,501.4783749,517.3908747,488.5127687,501.4783749
532.0284038,502.9777845,512.5333193,526.9858261,492.3782401,501.9395445,517.728616,488.9268719,501.9395445
532.3218122,503.4154451,512.8781988,527.3227255,492.5518446,502.4108715,518.0627923,489.3387226,502.4108715
532.6121635,503.846079,513.2213129,527.6560011,492.7282275,502.8816534,518.3934653,489.7483242,502.8816534
532.8995741,504.2701943,513.5626766,527.9858037,492.9072239,503.345777,518.7208289,490.1471286,503.345777
